name;keywords
dotnet/dotnet;apm, dotnet, language agent
dotnet/dotnet-core;apm, dotnet
dotnet/dotnet-MVC Web API;apm, dotnet
ruby/ActiveRecord;apm, ruby
ruby/Acts_as_solr;apm, ruby
Adobe-CQ;cms, content management system
python/AIOHTTP;python, apm, http
java/Akka;apm, java
Algorithmia;mlops
aws/amazon-athena;aws, amazon web services, database
aws/Amazon-DocumentDB;aws, amazon web services, database
aws/Amazon-Linux;aws, amazon web services, os, operating system
aws/Amazon-MSK;aws, amazon web services, queue
python/AMQPlib;apm, python
Android;mobile, mobile agent
java/Anorm;apm, java
Ansible;automation, devops, sre
Apache;infrastructure, http, web, server
java/Apache-HTTP-client;http, java
Apache-Zookeeper;infrastructure, database
dotnet/ASP-dotnet-MVC;apm, dotnet
dotnet/ASP-dotnet-Web-forms;apm, dotnet
java/ASyncHTTPClient;apm, http, java
ruby/Authlogic;apm, ruby
aws/aws-API-Gateway;aws, amazon web services, api, networking
aws/aws-AppSync;aws, amazon web services, api
aws/aws-Auto-Scaling;aws, amazon web services
aws/aws-Billing;aws, amazon web services
aws/aws-CloudFormation;aws, amazon web services, automation
aws/aws-CloudFront;aws, amazon web services
aws/aws-CloudTrail;aws, amazon web services, security
aws/aws-Cloudwatch-plugin-for-Logs;aws, amazon web services, logs, logging
aws/aws-Cognito;aws, amazon web services
aws/aws-Connect;aws, amazon web services
aws/aws-Direct Connect;aws, amazon web services
aws/aws-DynamoDB;aws, amazon web services, database
aws/aws-EBS;aws, amazon web services, database, storage
aws/aws-EC2;aws, amazon web services, database
aws/aws-ECS-ECR;aws, amazon web services, containers
aws/aws-EFS;aws, amazon web services, storage
aws/aws-Elastic-Beanstalk;aws, amazon web services
aws/aws-ElastiCache;aws, amazon web services, database
aws/aws-Elasticsearch;aws, amazon web services
aws/aws-ELB;aws, amazon web services, load balancer, networking
aws/aws-Elemental MediaPackage VOD;aws, amazon web services, messaging
aws/aws-EMR;aws, amazon web services
aws/aws-FireLens-plugin-for-Logs;aws, amazon web services, logs, logging
aws/aws-FSx;aws, amazon web services
aws/aws-Glue;aws, amazon web services
aws/aws-Health;aws, amazon web services
aws/aws-IAM;aws, amazon web services
aws/aws-IoT;aws, amazon web services
aws/aws-Kinesis Data Firehose;aws, amazon web services, logs, logging
aws/aws-Kinesis Data Streams;aws, amazon web services, logs, logging
aws/aws-Lambda;aws, amazon web services, serverless
aws/aws-MQ;aws, amazon web services, messaging, queue
aws/aws-NeptuneDB;aws, amazon web services, database
aws/aws-NLB-ALB;aws, amazon web services, networking
aws/aws-Outposts;aws, amazon web services
aws/aws-QLDB;aws, amazon web services, database
aws/aws-RDS;aws, amazon web services, database
